,Lat,Lng,Price,Tempature (C),ZipCode
2157,41.21,-96.0,103900.0,5.67,68117
2158,40.45,-79.99,453900.0,1.99,15222
2159,43.42,-86.37,104900.0,1.69,49437
2160,39.71,-84.1,131400.0,1.75,45430
2161,42.51,-85.41,126800.0,1.15,49046
2162,37.23,-121.79,699700.0,13.09,95119
2163,36.76,-78.94,81600.0,3.49,24558
2164,41.96,-72.8,185300.0,-2.24,06035
2165,39.12,-84.43,224800.0,2.31,45226
2166,42.44,-71.78,236200.0,-0.99,01564
2167,42.86,-84.35,131900.0,1.37,48848
2168,35.43,-80.21,93000.0,5.34,28127
2169,41.52,-71.38,432300.0,-0.5,02835
2170,42.55,-71.91,205900.0,-1.29,01473
2171,42.71,-73.2,191900.0,-3.61,01267
2172,42.71,-74.02,183500.0,-3.58,12009
2173,31.04,-88.25,80000.0,9.63,36522
2174,35.39,-82.57,203500.0,9.44,28759
2175,35.97,-83.9,65700.0,5.48,37915
2176,42.03,-74.11,310600.0,-3.23,12498
2177,41.35,-85.41,84100.0,1.0,46701
2178,47.17,-122.59,295400.0,7.7,98388
2179,35.47,-81.11,92800.0,7.51,28080
2180,41.62,-94.04,147200.0,5.83,50003
2181,40.18,-85.5,71500.0,1.37,47396
2182,42.53,-88.35,146800.0,3.2,53128
2183,36.87,-76.29,171900.0,6.38,23517
2184,37.69,-87.94,87500.0,3.5,42437
2185,38.61,-94.68,129400.0,7.61,66053
2186,40.67,-75.5,142900.0,0.52,18037
2187,41.06,-86.63,75300.0,0.84,46996
2188,35.95,-79.75,111900.0,5.38,27313
2189,43.61,-71.75,172400.0,-2.41,03222
2190,42.3,-73.23,205400.0,-2.7,01238
2191,38.86,-94.28,144600.0,7.71,64034
2192,40.54,-75.42,211100.0,1.11,18034
2193,38.85,-104.91,255000.0,16.16,80829
2194,42.23,-71.7,254500.0,-1.07,01536
2195,40.49,-85.61,58100.0,0.83,46933
2196,36.14,-81.7,242900.0,4.03,28605
2197,41.04,-73.58,681600.0,0.07,06878
2198,42.84,-71.16,290300.0,-0.75,03811
2199,40.56,-76.93,110700.0,2.27,17061
2200,40.35,-79.86,59500.0,1.98,15133
2201,43.56,-76.13,90700.0,-2.26,13142
2202,40.15,-82.98,133600.0,0.71,43240
2203,30.4,-87.47,131000.0,9.22,36549
2204,42.43,-73.67,194500.0,-3.59,12184
2205,35.04,-97.26,85400.0,14.29,73051
2206,41.04,-73.57,645500.0,0.07,06870
2207,39.63,-106.76,378100.0,8.21,81631
2208,40.77,-83.82,107800.0,0.22,45810
2209,39.1,-84.48,104900.0,2.31,41073
2210,37.11,-81.51,73600.0,2.76,24651
2211,41.31,-73.85,299000.0,-0.82,10547
2212,36.09,-79.36,99100.0,4.67,27258
2213,42.67,-76.19,106800.0,-1.38,13077
2214,39.48,-76.24,152200.0,4.13,21017
2215,41.9,-72.54,152600.0,-2.13,06016
2216,40.46,-76.12,161800.0,1.91,19506
2217,37.21,-79.81,208400.0,3.72,24101
2218,36.18,-95.17,87500.0,11.2,74352
2219,37.82,-77.19,182000.0,5.86,23009
2220,38.4,-121.23,510300.0,13.52,95693
2221,41.6,-83.56,89300.0,1.0,43460
2222,42.48,-73.16,139500.0,-2.82,01226
2223,41.24,-75.5,88900.0,-0.79,18424
2224,27.43,-81.35,103900.0,13.52,33876
2225,39.64,-83.75,95300.0,1.71,45335
