,Lat,Lng,Price,Tempature (C),ZipCode
1524,28.85,-82.03,164600.0,13.97,34785
1525,45.65,-122.66,293100.0,6.87,98663
1526,30.21,-97.94,390100.0,8.12,78737
1527,44.9,-93.37,487200.0,3.0,55436
1528,40.82,-73.2,439300.0,1.09,11788
1529,32.83,-109.63,142800.0,11.0,85546
1530,34.77,-92.15,81900.0,4.97,72117
1531,42.47,-70.91,496200.0,0.62,01907
1532,33.71,-117.25,362300.0,15.23,92587
1533,29.22,-94.96,350100.0,9.55,77554
1534,37.85,-122.02,1527200.0,11.2,94507
1535,36.13,-82.42,112500.0,3.74,37650
1536,38.34,-77.77,227200.0,11.77,22508
1537,38.43,-82.55,106300.0,3.06,45680
1538,41.39,-84.14,127600.0,0.28,43545
1539,38.72,-77.74,350000.0,11.24,20187
1540,36.15,-95.95,178000.0,9.43,74104
1541,41.37,-87.48,184200.0,1.76,46303
1542,41.26,-95.96,115800.0,6.83,68131
1543,39.61,-76.86,249300.0,7.08,21074
1544,33.84,-83.71,148600.0,11.28,30656
1545,42.22,-71.53,477300.0,0.82,01748
1546,41.6,-87.26,101200.0,1.68,46403
1547,36.05,-85.01,148300.0,4.0,38571
1548,42.34,-71.84,286000.0,0.1,01520
1549,41.61,-72.67,231300.0,0.55,06416
1550,33.93,-80.84,96100.0,11.89,29061
1551,38.41,-81.76,131400.0,3.26,25313
1552,44.4,-122.73,184100.0,6.0,97386
1553,19.59,-154.99,275300.0,17.61,96749
1554,42.13,-80.06,56400.0,-0.53,16503
1555,36.75,-80.01,151800.0,8.98,24055
1556,28.25,-81.65,189800.0,15.99,33896
1557,40.83,-74.24,457800.0,1.54,07044
1558,42.66,-77.06,134300.0,0.43,14527
1559,38.72,-89.87,177000.0,8.4,62294
1560,47.76,-117.41,237400.0,1.2,99218
1561,45.45,-123.82,235600.0,6.27,97141
1562,39.21,-76.08,199700.0,8.5,21620
1563,47.15,-122.06,344200.0,6.66,98321
1564,38.51,-90.63,216600.0,8.96,63025
1565,43.07,-89.51,302200.0,2.37,53717
1566,38.05,-85.38,212500.0,1.83,40071
1567,29.66,-82.59,189000.0,14.24,32669
1568,44.93,-93.09,181600.0,3.0,55107
1569,40.15,-74.88,252300.0,3.72,19056
1570,33.02,-83.54,136700.0,11.72,31032
1571,42.23,-85.9,140800.0,0.75,49079
1572,39.12,-94.76,117000.0,5.66,66112
1573,41.47,-73.5,312200.0,-0.55,06812
1574,30.48,-91.07,154900.0,11.58,70814
1575,40.7,-73.33,426600.0,1.67,11702
1576,40.5,-79.91,210300.0,0.83,15215
1577,29.98,-93.96,137900.0,11.48,77651
1578,41.84,-71.32,320500.0,1.08,02771
1579,42.64,-82.59,139000.0,0.43,48001
1580,45.46,-93.59,226200.0,2.89,55398
1581,34.34,-84.38,208800.0,8.53,30107
1582,40.44,-74.38,253400.0,3.06,08882
1583,42.86,-78.82,84300.0,0.02,14210
1584,42.08,-70.94,330000.0,0.93,02382
1585,35.06,-85.25,93900.0,6.42,37406
1586,45.05,-93.43,341700.0,3.0,55442
1587,38.73,-108.06,180600.0,5.03,81416
1588,35.85,-85.13,124700.0,4.01,38572
1589,41.02,-73.78,540900.0,0.87,10606
1590,41.87,-72.37,222900.0,0.62,06084
1591,34.77,-92.36,236600.0,6.0,72207
1592,33.96,-81.07,109700.0,11.71,29033
1593,41.06,-74.02,412000.0,0.75,10965
1594,33.68,-86.41,158300.0,7.33,35120
1595,36.12,-83.48,138800.0,3.49,37760
1596,43.47,-111.97,168700.0,2.0,83406
1597,43.03,-76.01,163700.0,-1.38,13066
1598,41.93,-72.65,173100.0,0.36,06096
1599,40.74,-80.3,122100.0,0.71,15066
1600,40.93,-111.88,255000.0,10.23,84014
1601,38.85,-94.39,231400.0,6.2,64082
1602,41.93,-71.05,323300.0,0.92,02767
1603,43.15,-77.63,84800.0,1.09,14608
1604,42.29,-70.88,415700.0,0.7,02045
1605,41.43,-75.65,89100.0,-1.0,18509
1606,42.81,-71.31,384700.0,-0.09,03087
1607,37.94,-122.32,547600.0,11.47,94805
1608,46.94,-95.04,189800.0,4.0,56470
1609,36.3,-119.13,210000.0,9.67,93221
1610,31.22,-81.55,169400.0,13.24,31523
1611,36.47,-81.81,108100.0,3.85,37683
1612,39.12,-90.33,100700.0,8.58,62052
1613,45.55,-122.44,310700.0,6.85,97024
1614,41.41,-92.92,199200.0,5.67,50219
1615,38.31,-104.63,182300.0,15.53,81008
1616,38.43,-90.2,181700.0,8.59,62236
1617,42.47,-83.52,350800.0,0.73,48374
1618,40.9,-74.1,351900.0,1.06,07663
1619,35.03,-85.27,102300.0,6.41,37404
1620,36.42,-86.79,198800.0,4.48,37073
1621,39.56,-95.13,92700.0,6.0,66002
1622,42.1,-84.24,186700.0,1.0,49230
1623,39.78,-74.93,187700.0,5.17,08009
1624,38.74,-90.34,59500.0,8.99,63134
1625,41.57,-81.53,90900.0,0.84,44117
1626,41.49,-74.34,194500.0,-0.42,10941
1627,45.92,-122.71,268100.0,7.0,98674
1628,41.17,-87.25,151300.0,1.02,46310
1629,42.33,-71.09,661700.0,0.73,02120
1630,41.04,-81.36,145400.0,0.41,44260
1631,40.84,-73.04,313500.0,0.89,11738
1632,31.07,-98.18,119400.0,9.73,76550
1633,39.37,-94.36,184300.0,5.78,64060
1634,40.85,-74.16,339600.0,1.58,07012
1635,32.22,-95.23,179500.0,8.67,75791
1636,43.25,-70.88,218500.0,-0.38,03878
1637,39.14,-77.73,419000.0,10.33,20132
1638,44.66,-74.97,106300.0,-2.55,13676
1639,42.07,-83.21,205000.0,0.67,48173
1640,40.4,-79.93,98000.0,0.86,15207
1641,34.38,-88.67,159300.0,7.51,38866
1642,29.48,-81.13,363600.0,12.68,32136
1643,41.73,-72.73,207600.0,0.44,06110
1644,39.55,-107.79,240200.0,4.68,81650
1645,41.26,-110.96,167200.0,7.0,82930
1646,29.4,-82.49,152000.0,14.39,32696
1647,34.92,-82.13,151000.0,10.36,29334
1648,33.59,-83.46,228500.0,13.4,30650
1649,40.58,-74.5,273800.0,2.13,08846
1650,39.13,-77.15,360900.0,9.66,20855
1651,42.83,-82.51,159000.0,0.41,48079
1652,39.2,-106.82,2186500.0,3.98,81611
1653,44.85,-93.78,260900.0,3.17,55387
1654,40.75,-115.6,227400.0,1.0,89815
1655,41.7,-93.78,222000.0,5.32,50111
1656,40.95,-73.79,704200.0,1.14,10804
1657,34.26,-118.46,510900.0,15.88,91345
1658,35.93,-86.68,356700.0,6.0,37135
1659,45.49,-122.73,561900.0,6.74,97221
1660,31.97,-97.35,166500.0,9.57,76692
1661,28.43,-81.34,288600.0,15.5,32827
1662,40.67,-74.27,298000.0,1.85,07204
1663,38.89,-84.63,183200.0,2.04,41094
1664,46.48,-93.65,189200.0,3.0,56431
1665,41.61,-87.51,62600.0,2.26,46320
1666,40.01,-75.19,204200.0,3.67,19129
1667,43.64,-72.24,241500.0,-2.52,03766
1668,44.08,-93.51,126400.0,3.0,56093
1669,41.14,-73.57,627900.0,0.67,06903
1670,30.6,-90.97,195700.0,11.37,70739
1671,41.66,-83.52,45200.0,0.76,43604
1672,33.71,-112.44,294400.0,17.28,85387
1673,41.46,-88.28,205700.0,2.55,60447
1674,42.03,-70.94,355600.0,1.08,02333
1675,34.4,-118.92,416500.0,16.31,93015
1676,41.02,-76.84,144000.0,2.5,17847
1677,30.53,-91.12,135400.0,11.49,70811
1678,44.85,-74.29,78200.0,-3.35,12953
1679,41.1,-80.69,41500.0,-0.18,44509
1680,41.32,-93.1,134800.0,5.7,50138
1681,40.63,-76.17,127400.0,2.56,17972
1682,40.14,-79.92,83000.0,0.99,15022
1683,40.35,-78.94,40500.0,1.03,15906
1684,42.53,-71.03,583500.0,0.46,01940
