,Lat,Lng,Price,Tempature (C),ZipCode
1281,34.23,-119.05,480900,15.7,93010
1287,38.59,-121.41,232300,12.89,95825
1289,33.74,-116.92,214300,17.14,92544
1297,36.83,-119.83,228300,13.32,93711
1308,33.88,-117.96,506900,15.84,92833
1313,33.66,-117.35,228600,16.31,92530
1316,34.43,-119.86,563600,14.74,93117
1336,33.71,-117.71,439300,16.22,92618
1346,33.75,-118.37,755400,15.69,90275
1348,35.34,-119.02,121700,6.55,93304
1350,37.14,-121.65,695200,12.6,95037
1357,34.21,-118.4,483200,14.87,91605
1366,38.55,-121.37,144200,12.89,95826
1376,38.62,-121.38,273600,12.89,95821
1379,32.86,-116.92,417000,15.54,92040
1380,33.21,-117.36,615700,15.9,92054
1401,37.37,-121.82,688000,12.09,95127
1404,33.79,-118.14,414600,15.82,90804
1410,33.82,-118.27,397900,15.81,90745
1413,38.12,-121.26,236200,13.37,95240
1418,33.95,-117.38,333400,15.91,92506
1419,37.8,-122.24,640600,12.14,94606
1420,33.63,-117.87,914900,15.95,92660
1424,37.44,-122.19,1495400,12.09,94025
1425,37.76,-122.4,1342300,12.08,94107
1429,38.72,-120.8,284000,11.03,95667
1448,34.09,-118.29,789000,15.81,90029
1449,33.79,-118.12,595000,15.82,90815
1450,38.28,-122.47,624400,12.38,95476
1453,36.83,-119.68,208900,13.32,93611
1454,37.27,-121.85,694600,12.09,95136
1464,37.97,-122.51,815200,12.08,94901
1468,36.97,-121.99,781000,12.67,95062
1471,35.3,-119.11,219300,6.53,93311
1479,39.75,-121.84,247800,11.98,95926
1498,37.28,-121.83,487200,12.09,95111
1518,34.14,-118.0,582300,15.63,91016
1520,34.83,-120.43,308100,13.2,93455
1521,34.69,-118.15,175000,9.56,93534
1525,33.99,-118.46,1572500,15.8,90291
1529,34.18,-118.94,368100,15.77,91320
1530,34.19,-118.39,526200,14.87,91606
1534,34.08,-117.63,343200,15.81,91764
1537,38.69,-121.07,452300,12.01,95762
1551,34.11,-118.23,709900,15.81,90065
1557,34.5,-117.29,169000,14.46,92395
1562,34.15,-118.43,746000,15.72,91423
1564,33.11,-117.07,409400,15.67,92025
1568,37.35,-121.95,953600,12.09,95050
1575,37.74,-122.49,1197400,12.08,94116
1577,33.96,-117.25,242900,16.01,92557
