Zipcode,Population,Median Age, Household Income ,Per Capita Income,Poverty Count,Poverty Rate
1519,6548,42.3," 114,615 ",47905,273,4.169211973
1520,14880,41.5," 99,575 ",41699,490,3.293010753
1521,2374,45.1," 75,658 ",35363,120,5.054759899
1522,3380,41.7," 102,602 ",42394,248,7.337278107
1523,7811,38.2," 97,958 ",33078,521,6.670080655
1524,6649,45.1," 60,288 ",32164,530,7.971123477
1525,128,48.6," 82,361 ",40023,0,0
1527,13431,42.8," 72,566 ",34857,896,6.671133944
1529,3218,41.5," 91,250 ",34255,225,6.991920447
1531,1106,48," 81,389 ",36314,64,5.786618445
1532,14846,43.2," 110,147 ",46860,465,3.13215681
1534,6406,44.3," 95,238 ",44261,499,7.789572276
1535,4761,44.1," 70,873 ",30530,245,5.145977736
1536,7557,41.4," 94,766 ",41970,651,8.614529575
1537,2671,33.3," 76,114 ",28702,364,13.62785474
1540,10921,41.2," 60,852 ",29422,1046,9.577877484
1541,3451,45.8," 121,500 ",54940,226,6.548826427
1542,2366,47," 94,103 ",36454,27,1.141166526
1543,8402,39.5," 95,347 ",36917,182,2.166150916
1545,36103,40.8," 99,441 ",44402,1391,3.852865413
1550,16824,38.5," 48,762 ",24724,2728,16.21493105
1560,4504,36.8," 80,078 ",39644,339,7.526642984
1561,249,59.6," (666,666,666)",31381,16,6.425702811
1562,11801,42.5," 65,858 ",30409,1320,11.18549275
1564,7954,44.9," 104,187 ",47551,433,5.443801861
1566,6442,43.1," 98,000 ",43514,162,2.514746973
1568,7532,40.8," 115,348 ",45515,361,4.792883696
1569,13881,39.4," 90,204 ",34655,1122,8.082991139
1570,16838,40.7," 51,229 ",26356,2170,12.88751633
1571,11608,38," 62,567 ",29785,948,8.16678153
1581,18706,40.1," 106,915 ",46782,857,4.581417727
1583,7602,38.8," 74,020 ",27467,389,5.117074454
1585,4606,49.1," 61,298 ",31640,316,6.860616587
1588,9731,38.5," 60,429 ",31274,791,8.12866098
1590,9184,44," 99,692 ",41891,186,2.025261324
1602,23812,40.3," 62,709 ",33417,2979,12.51049891
1603,20505,36.3," 40,967 ",22724,4471,21.80443794
1604,35866,34.8," 50,426 ",26263,6897,19.22991134
1605,28696,31.3," 35,446 ",20729,7360,25.64817396
1606,19258,40.4," 65,163 ",34426,1910,9.917956174
1607,8636,35.4," 47,068 ",25439,1695,19.6271422
1608,3511,27.5," 18,843 ",12874,1764,50.24209627
1609,19982,30.6," 42,863 ",27559,3933,19.68271444
1610,23919,28.3," 31,182 ",15359,7129,29.80475772
1611,2466,41.3," 81,971 ",34645,113,4.582319546
1612,4889,38.8," 94,135 ",37695,156,3.190836572
1701,32061,44.7," 100,788 ",47041,1442,4.497676305
1702,38781,34.3," 51,137 ",28353,6187,15.95368866
1718,526,41.1," 131,484 ",59295,56,10.64638783
1719,5287,41.6," 103,556 ",57192,247,4.67183658
1720,22638,43.4," 131,413 ",59593,651,2.875695733
1721,17420,42.1," 103,700 ",50097,655,3.760045924
1730,14018,43.3," 117,688 ",55262,385,2.746468826
1731,1957,21.6," 84,333 ",25069,94,4.803270312
1740,5113,42.3," 151,023 ",54767,79,1.545081166
1741,5125,49.6," 167,400 ",83920,113,2.204878049
1742,19448,45.9," 137,991 ",68106,919,4.725421637
1745,482,33.5," 120,766 ",34163,0,0
1746,14324,42.5," 110,295 ",48394,291,2.031555431
1747,5942,44.1," 99,792 ",41244,119,2.002692696
1748,16257,41," 143,190 ",60782,418,2.571200098
1749,19680,43.4," 80,574 ",38275,1270,6.453252033
1752,39545,39.6," 72,222 ",36782,2830,7.156404097
1754,10526,42.3," 90,134 ",46941,960,9.120273608
1756,5963,44.5," 121,298 ",47850,33,0.553412712
